Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2024-11-25 - LA 2, SJ 7",LA,49.38,32.13,36.47,27.72,21.69,18.61,2.07,4.8,2.21,1.07,24.4,10.74,11.52,2.8,9.28,0.95,1.06,0.94,12.82,8.01,4.04,4.12,1.06,1.0,25.03,20.39,7.58,10.73,0.0,2.9,0.838
"2024-11-25 - LA 2, SJ 7",SJ,32.13,49.38,27.72,36.47,18.61,21.69,4.8,2.07,1.07,2.21,10.74,24.4,2.8,11.52,0.95,9.28,0.94,1.06,8.01,12.82,4.12,4.04,1.0,1.06,20.39,25.03,10.73,7.58,2.9,0.0,1.162
"2024-11-26 - VAN 2, BOS 0",BOS,52.49,24.84,30.74,15.05,23.46,12.85,0.0,0.0,2.18,0.39,24.96,8.73,11.84,1.07,7.45,0.0,0.0,0.0,12.93,7.74,1.9,2.1,0.0,0.0,29.63,17.14,11.22,9.65,0.0,0.0,1.0
"2024-11-26 - VAN 2, BOS 0",VAN,24.84,52.49,15.05,30.74,12.85,23.46,0.0,0.0,0.39,2.18,8.73,24.96,1.07,11.84,0.0,7.45,0.0,0.0,7.74,12.93,2.1,1.9,0.0,0.0,17.14,29.63,9.65,11.22,0.0,0.0,1.0
"2024-11-26 - UHC 3, MTL 2",MTL,33.93,52.48,21.3,39.22,12.51,23.58,1.87,2.07,1.9,2.67,19.98,26.16,8.36,12.78,6.56,8.43,0.94,0.0,11.62,13.39,1.9,6.15,0.96,2.11,14.73,25.59,3.94,7.1,0.0,0.0,1.062
"2024-11-26 - UHC 3, MTL 2",UHC,52.48,33.93,39.22,21.3,23.58,12.51,2.07,1.87,2.67,1.9,26.16,19.98,12.78,8.36,8.43,6.56,0.0,0.94,13.39,11.62,6.15,1.9,2.11,0.96,25.59,14.73,7.1,3.94,0.0,0.0,0.938
"2024-11-27 - MIN 1, BUF 0",BUF,59.1,60.67,35.47,41.43,25.6,31.49,0.0,1.06,1.72,2.0,26.96,26.35,6.18,10.0,3.55,2.23,0.0,0.0,20.45,16.61,7.47,9.6,0.0,1.05,35.2,28.56,13.66,15.33,0.0,0.0,0.966
"2024-11-27 - MIN 1, BUF 0",MIN,60.67,59.1,41.43,35.47,31.49,25.6,1.06,0.0,2.0,1.72,26.35,26.96,10.0,6.18,2.23,3.55,0.0,0.0,16.61,20.45,9.6,7.47,1.05,0.0,28.56,35.2,15.33,13.66,0.0,0.0,1.034
"2024-11-27 - STL 3, NJ 0",NJ,50.85,24.08,36.17,15.82,19.39,13.5,0.0,3.18,2.34,0.75,17.64,14.58,4.93,2.26,3.26,2.26,0.0,1.07,12.44,12.45,3.52,6.48,0.0,2.09,27.6,10.6,10.6,3.54,0.0,0.0,0.764
"2024-11-27 - STL 3, NJ 0",STL,24.08,50.85,15.82,36.17,13.5,19.39,3.18,0.0,0.75,2.34,14.58,17.64,2.26,4.93,2.26,3.26,1.07,0.0,12.45,12.44,6.48,3.52,2.09,0.0,10.6,27.6,3.54,10.6,0.0,0.0,1.236
"2024-11-27 - NYR 3, CAR 4",CAR,53.36,34.19,37.25,27.33,22.47,17.04,1.87,3.08,1.88,1.62,20.13,12.22,10.07,5.08,8.34,4.03,0.92,1.06,10.06,7.12,1.99,5.08,0.0,2.12,38.36,23.33,12.11,7.09,0.95,0.0,0.902
"2024-11-27 - NYR 3, CAR 4",NYR,34.19,53.36,27.33,37.25,17.04,22.47,3.08,1.87,1.62,1.88,12.22,20.13,5.08,10.07,4.03,8.34,1.06,0.92,7.12,10.06,5.08,1.99,2.12,0.0,23.33,38.36,7.09,12.11,0.0,0.95,1.098
"2024-11-27 - CGY 1, DET 2",DET,48.57,40.67,33.82,24.26,20.45,15.57,0.0,0.0,2.0,0.86,23.95,13.15,8.97,5.08,6.05,2.05,0.0,0.0,15.18,7.99,4.93,5.04,0.0,0.0,31.24,27.47,7.36,6.46,0.0,0.0,1.0
"2024-11-27 - CGY 1, DET 2",CGY,40.67,48.57,24.26,33.82,15.57,20.45,0.0,0.0,0.86,2.0,13.15,23.95,5.08,8.97,2.05,6.05,0.0,0.0,7.99,15.18,5.04,4.93,0.0,0.0,27.47,31.24,6.46,7.36,0.0,0.0,1.0
"2024-11-27 - WSH 5, TB 4",WSH,45.56,35.22,35.49,24.01,24.74,20.99,2.02,2.83,1.54,1.54,23.18,16.64,7.16,5.9,6.1,5.98,0.0,0.0,15.77,10.8,7.12,7.8,2.12,2.84,25.83,20.3,10.39,7.14,0.0,0.0,0.947
"2024-11-27 - WSH 5, TB 4",TB,35.22,45.56,24.01,35.49,20.99,24.74,2.83,2.02,1.54,1.54,16.64,23.18,5.9,7.16,5.98,6.1,0.0,0.0,10.8,15.77,7.8,7.12,2.84,2.12,20.3,25.83,7.14,10.39,0.0,0.0,1.053
"2024-11-27 - TOR 1, FLA 5",TOR,30.83,39.19,19.49,24.48,15.8,16.01,0.0,0.99,0.95,1.04,13.5,13.43,1.98,6.05,1.95,3.06,0.0,0.99,11.1,7.53,5.85,5.13,0.0,0.0,19.66,31.68,6.92,6.79,0.0,0.0,0.938
"2024-11-27 - TOR 1, FLA 5",FLA,39.19,30.83,24.48,19.49,16.01,15.8,0.99,0.0,1.04,0.95,13.43,13.5,6.05,1.98,3.06,1.95,0.99,0.0,7.53,11.1,5.13,5.85,0.0,0.0,31.68,19.66,6.79,6.92,0.0,0.0,1.062
"2024-11-27 - BOS 6, NYI 3",NYI,44.14,50.21,31.93,36.87,20.35,21.34,2.8,5.32,1.71,1.47,20.42,19.74,7.84,6.6,4.4,5.45,1.85,3.22,12.29,13.37,3.76,4.24,0.96,1.05,27.81,37.9,12.21,9.56,0.0,1.05,0.888
"2024-11-27 - BOS 6, NYI 3",BOS,50.21,44.14,36.87,31.93,21.34,20.35,5.32,2.8,1.47,1.71,19.74,20.42,6.6,7.84,5.45,4.4,3.22,1.85,13.37,12.29,4.24,3.76,1.05,0.96,37.9,27.81,9.56,12.21,1.05,0.0,1.112
