Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2024-04-12 - ARI 3, EDM 2",ARI,Limited ReportFull Report,53.916666666667,43.8,65.66,40.02,33.9,50.26,40.28,23.13,35.58,39.4,2.11,1.85,53.35,2.26,3.37,40.11,24.74,29.43,45.67,7.56,10.85,41.06,6.38,7.33,46.55,2.12,0.92,69.75,33.16,87.48,17.31,18.39,48.48,9.52,8.48,52.86,0.0,0.0,-,0.00,100.00,17.06,47.67,26.35,6.17,18.76,24.75,0.0,0.89,0.00,0.0,95.26,9.13,94.81,1.039,18347
"2024-04-12 - ARI 3, EDM 2",EDM,Limited ReportFull Report,53.916666666667,65.66,43.8,59.98,50.26,33.9,59.72,35.58,23.13,60.6,1.85,2.11,46.65,3.37,2.26,59.89,29.43,24.74,54.33,10.85,7.56,58.94,7.33,6.38,53.45,0.92,2.12,30.25,12.52,66.84,18.39,17.31,51.52,8.48,9.52,47.14,0.0,0.0,-,0.00,100.00,47.67,17.06,73.65,18.76,6.17,75.25,0.89,0.0,100.00,4.74,100.0,5.19,90.87,0.961,18347
"2024-04-12 - CGY 6, ANA 3",CGY,Limited ReportFull Report,49.8,61.52,38.93,61.25,39.41,28.16,58.32,21.32,17.16,55.4,2.13,2.79,43.35,2.92,1.76,62.35,29.32,18.92,60.77,10.13,5.07,66.63,5.69,4.18,57.65,1.07,0.91,54.12,18.81,78.29,19.51,13.69,58.77,4.41,4.4,50.05,1.04,0.0,100.00,23.59,100.00,36.49,21.14,63.32,11.31,7.61,59.77,0.0,1.77,0.00,0.0,76.81,10.0,83.77,0.938,17174
"2024-04-12 - CGY 6, ANA 3",ANA,Limited ReportFull Report,49.8,38.93,61.52,38.75,28.16,39.41,41.68,17.16,21.32,44.6,2.79,2.13,56.65,1.76,2.92,37.65,18.92,29.32,39.23,5.07,10.13,33.37,4.18,5.69,42.35,0.91,1.07,45.88,21.71,81.19,13.69,19.51,41.23,4.4,4.41,49.95,0.0,1.04,0.00,0.00,76.41,21.14,36.49,36.68,7.61,11.31,40.23,1.77,0.0,100.00,23.19,100.0,16.23,90.0,1.062,17174
"2024-04-12 - MIN 2, VGK 7",MIN,Limited ReportFull Report,49.3,38.54,53.59,41.83,24.78,39.35,38.64,18.54,29.38,38.68,0.0,3.98,0.00,1.78,2.17,45.04,16.22,24.36,39.96,13.74,9.3,59.62,6.84,6.29,52.08,0.0,1.96,0.00,0.00,68.93,2.69,15.35,14.91,0.94,8.42,10.03,0.0,1.94,0.00,0.00,76.92,22.1,28.29,43.86,6.99,13.76,33.7,0.0,0.0,-,0.0,100.0,0.0,86.47,0.865,18415
"2024-04-12 - MIN 2, VGK 7",VGK,Limited ReportFull Report,49.3,53.59,38.54,58.17,39.35,24.78,61.36,29.38,18.54,61.32,3.98,0.0,100.00,2.17,1.78,54.96,24.36,16.22,60.04,9.3,13.74,40.38,6.29,6.84,47.92,1.96,0.0,100.00,31.07,100.00,15.35,2.69,85.09,8.42,0.94,89.97,1.94,0.0,100.00,23.08,100.00,28.29,22.1,56.14,13.76,6.99,66.3,0.0,0.0,-,0.0,100.0,13.53,100.0,1.135,18415
"2024-04-13 - NYI 2, NYR 3",NYI,Limited ReportFull Report,47.783333333333,56.87,68.15,45.49,43.55,49.33,46.89,30.08,34.14,46.83,2.07,0.92,69.12,3.12,3.21,49.26,30.27,32.67,48.09,13.94,13.0,51.74,9.6,9.35,50.68,0.0,0.0,-,0.00,100.00,16.34,19.52,45.56,6.14,9.5,39.25,1.05,0.96,52.27,17.14,89.89,30.27,40.82,42.58,13.44,15.26,46.83,0.94,0.0,100.00,6.98,100.0,6.87,97.29,1.042,18006
"2024-04-13 - NYI 2, NYR 3",NYR,Limited ReportFull Report,47.783333333333,68.15,56.87,54.51,49.33,43.55,53.11,34.14,30.08,53.17,0.92,2.07,30.88,3.21,3.12,50.74,32.67,30.27,51.91,13.0,13.94,48.26,9.35,9.6,49.32,0.0,0.0,-,0.00,100.00,19.52,16.34,54.44,9.5,6.14,60.75,0.96,1.05,47.73,10.11,82.86,40.82,30.27,57.42,15.26,13.44,53.17,0.0,0.94,0.00,0.0,93.02,2.71,93.13,0.958,18006
"2024-04-13 - SEA 1, DAL 3",SEA,Limited ReportFull Report,48.75,39.01,47.72,44.97,29.97,35.03,46.1,19.44,23.78,44.98,1.0,1.93,34.23,1.44,1.77,44.94,14.93,24.1,38.25,5.13,9.81,34.32,2.01,6.01,25.03,1.02,0.96,51.46,50.99,83.95,9.64,14.55,39.87,5.99,6.08,49.62,0.0,0.95,0.00,0.00,84.40,22.72,23.9,48.73,10.39,11.77,46.87,0.0,0.0,-,0.0,100.0,5.17,91.89,0.971,18532
"2024-04-13 - SEA 1, DAL 3",DAL,Limited ReportFull Report,48.75,47.72,39.01,55.03,35.03,29.97,53.9,23.78,19.44,55.02,1.93,1.0,65.77,1.77,1.44,55.06,24.1,14.93,61.75,9.81,5.13,65.68,6.01,2.01,74.97,0.96,1.02,48.54,16.05,49.01,14.55,9.64,60.13,6.08,5.99,50.38,0.95,0.0,100.00,15.60,100.00,23.9,22.72,51.27,11.77,10.39,53.13,0.0,0.0,-,0.0,100.0,8.11,94.83,1.029,18532
